message_id,conversation_id,message,message_number
36464,01J1AWQ6RN3EPS93A6TV78JJ9P,"Hola! Cómo me puedo registrar al Simposio, si me interesa.",1
36472,01J1ETEFRNPPWQMC3B62QPTZ1A,Mandenme representante de Soliqua,1
36569,01J1FKN6EXD6VCK3CHBM06QAMN,Buen día para el registro.,1
36595,01J1FPZRZZ8HEJKH7SH7X0K2J8,,1
36604,01J1FR9ZY0562GWZH3FV9NWTV2,Buen dia,1
36607,01J1FR9ZY0562GWZH3FV9NWTV2,.,2
36623,01J1FXC25CAEPJB7KFJH72VHYY,,2
36638,01J1G3HZJD8MS6491SHN2HVATK,Gracias,1
36640,01J1G3JMVX9FR5JE94PPY4R6TZ,"Gracias por tu mensaje. En este momento no puedo responder, pero lo hare lo antes posible.????",1
36641,01J1G3HZJD8MS6491SHN2HVATK,,2
36642,01J1G3JPVGQSXRHP4M5KHHDQRF,"Gracias por su mensaje. Quizás me encuentre en horario de consulta o esté ocupado, así que le responderé lo más pronto que me sea posible. Pero si le urge mí repuesta, comuníquese al consultorio (solo en horario de consulta) de lo contrario llame a mí cel",1
36643,01J1G3JA8P57PEJK47DRB6BFWJ,No me deja registrar por que soy de México,1
36644,01J1G3M7N70R01V2SG4X01ENM1,Gracias,1
36646,01J1G3K5J3CBXVBHR6PWH6JD94,Gracias por comunicarte con Cosmética & Hogar. ¿Cómo podemos ayudarte?,1
36647,01J1G3JWQA26FWNK47WEJRMEGX,Ok gracias,1
36648,01J1G3JHYEMQV1RB4A39AVD2SN,Registrada gracias,1
36652,01J1G3KTZJ5JDK19B37PHNV7P2,,1
36653,01J1G3JE8AK5QGJQCFRKM31M6T,Buenas tardes no me he podido inscribir lo he intentado 2 veces,1
36657,01J1G3M2T6942ZDY477EPNRQTC,Hola,1
36658,01J1G3M2T6942ZDY477EPNRQTC,En dónde puedo agendar cita??,2
36659,01J1G3M2T6942ZDY477EPNRQTC,Ayuda,3
36660,01J1G3JST3YR22Y2D56W85K928,Gracias pero ya me jubile,1
36681,01J1FXC25CAEPJB7KFJH72VHYY,,1
36712,01J1J9TY8KCVQKC4Q33V0DR8C4,,1
36713,01J1JC5DAC49F8Q342A77V5FPZ,,1
36716,01J1FXC25CAEPJB7KFJH72VHYY,,3
36718,01J1G3JCCKF5K1B9WJSNC95JB1,Muchísimas gracias yae registre ???????????? mil gracias Sanofi,1
36721,01J1K9KDB275GXEX6346MVJGP9,"¿Puedes aceptar mi invitación para que consiga yo un regalo?
https://temu.com/s/K5iEiL9Axl7l9",1
36722,01J1K9KDB275GXEX6346MVJGP9,"¿Puedes aceptar mi invitación para que consiga yo un regalo?
https://temu.com/s/PPiZChwR5i1ZtpfG",2
36741,01J1MYAX486CTFGTCP14SZFJ02,,1
36743,01J1N3ZBBSJ16M4VV00QMKFF3J,,1
36748,01J1NCV9RKF82SYPFNTT5HE32J,Ya me registré ??,1
36751,01J1NTGGBQN6XQ34MFQ903ZK5F,,1
36762,01J1QEE73NXNM6FMHNZMM7R939,"Hola buenos días aquí en la sierra negra ha estado lloviendo mucho, hay derrumbes y falla la luz ;motivo por la cual no hay señal suficiente de internet",1
36763,01J1QEE73NXNM6FMHNZMM7R939,"Cómo para tomar un curso es difícil,no abre la página,se corta cada rato la señal o no se escucha el vídeo",2
36765,01J1QHM0SGW3B1V99R2SYTXBPA,,1
36767,01J1QP11HQYT8X9GNZA7BT0YBJ,,2
36775,01J1MYAX486CTFGTCP14SZFJ02,,2
36778,01J1QP11HQYT8X9GNZA7BT0YBJ,,3
36779,01J1RS8APGQ8HCZK0F0CN4AX0V,,1
36781,01J1T0MY8BBQY0QDZAXJVDP8VS,,1
36784,01J1QP11HQYT8X9GNZA7BT0YBJ,,1
36801,01J1TPJPBQHJR83S2HY5TKZGHB,Cuál es la agenda,1
36806,01J1V12PF4GA9GX1JW6MR6CRSR,Hola,1
36807,01J1V12PF4GA9GX1JW6MR6CRSR,Kiero registrarme para el simposiun,2
36808,01J1V3TXT6P1FQ0WXMJ30Q06J7,Buenas noches,1
36809,01J1V3TXT6P1FQ0WXMJ30Q06J7,A qué hora  da inicio el simposio??,2
36810,01J1V443HVYQ45865591VW55YM,Buenas tardes,1
36811,01J1V443HVYQ45865591VW55YM,Para el Simposio internacional de inmunización,2
36812,01J1VAC0BQQ37MEQMBK8527MCW,,1
36822,01J1WM6HVMEDAJTGRZVGP6G6RM,,1
36832,01J1VAC0BQQ37MEQMBK8527MCW,,2
36838,01J1X4PSKK3NASW914V11JF3V1,No puedo acceder al simposio ayuda,1
36845,01J1XPPHSYY9FZKEJVE6S3PN1T,Ya me Registre,1
36846,01J1VAC0BQQ37MEQMBK8527MCW,,3
36850,01J1Z3PX2P1Z3MQ8WNVJG5DYWS,Aque horas comienza,1
36853,01J1VAC0BQQ37MEQMBK8527MCW,,4
36855,01J1Z3PX2P1Z3MQ8WNVJG5DYWS,Nos pasará las presentaciones,2
36856,01J1ZNRXEWD5R8BC9AK9G3KJM7,Buenas tardes me llego un correo pero venía mal mi segundo apellido decía García pero me apellido Plascencia,1
36857,01J2005FT1VM5JC1HEMGW6R589,No alcance a contestar la encuesta de salida del simposio,1
36858,01J2005FT1VM5JC1HEMGW6R589,Estaba por enviarla justo cuando la cerraron,2
36859,01J201510P63WFZTFDTZ4NVZBB,https://temu.com/s/DXByk2E1vRF5Bxc,1
36860,01J20FP7NMRRRATC1FVT4NHTMG,,1
36863,01J21SGNS0QBQMB00RNW944Y21,,1
36864,01J20FP7NMRRRATC1FVT4NHTMG,,2
36865,01J222WSADG2GM3E8Z5R0MWD6P,Muchas gracias por compartir tan magno evento!!!no pude ingresar....,1
36866,01J222WSADG2GM3E8Z5R0MWD6P,Estaré al pendiente de los nuevos...,2
36867,01J22W173VA54H5ANABKZVSNGM,,1
36868,01J20FP7NMRRRATC1FVT4NHTMG,,3
36870,01J20FP7NMRRRATC1FVT4NHTMG,,4
36875,01J27T579K9GGP74FD5TJXCK68,,1
36876,01J29662M4F7XN4R9VKNR0HVZ2,Nunca pusieron horario,1
36877,01J29A6JK79TSRY4AWE51KB903,HOLA BUEN DÍA SOY EL DR JOSÉ DE JESÚS GARCÍA SAHAGÚN A TODOS MIS PACIENTITOS Y AMIGOS TENGO EL GUSTO DE COMUNICARLES QUE PARA SU COMODIDAD YA ESTOY ATENDIENDO EN EL CONSULTORIO NUEVO DE GIGANTES 2405  ES ENFRENTE CON MIS HERMANAS LOS DÍAS DE CONSULTA SON,1
36878,01J29R0FJV4P8V91XM9Q91VT9W,,2
36879,01J29R0FJV4P8V91XM9Q91VT9W,,3
36882,01J2C2T39H3HTM34QGKKR07RS4,,1
36883,01J29R0FJV4P8V91XM9Q91VT9W,,1
36884,01J2CGS5SR4REGCCZHHXR8AESE,Hola buenas tardes   Me puede mandar un representante médico  a mi consultorio,1
36885,01J2CKWASJ6MR302SVZZETBMPB,"Por favor... ¿Puedes ayudarme a ganar 4 obsequios? Absolutamente sí
https://temu.com/s/2xvaduNQegy7zZo",1
36886,01J2D8KPTAHVA8W93QZWWQJ2FM,,1
36888,01J2E8T1R48VVC9ENVBX472PZX,Aun no me llega la constancia de participación,1
36891,01J2D8KPTAHVA8W93QZWWQJ2FM,,2
36892,01J2FWX1HY8YPPA9BEFA5PDXZM,,1
36893,01J2D8KPTAHVA8W93QZWWQJ2FM,,3
36899,01J2D8KPTAHVA8W93QZWWQJ2FM,,4
36903,01J2KYZMZ3V3B2C6S7WPGSPHHD,,1
36904,01J2KYZMZ3V3B2C6S7WPGSPHHD,,2
36905,01J2N7PKSFFDDDPTR5X7EVKX5A,,1
36924,01J2KYZMZ3V3B2C6S7WPGSPHHD,,3
36934,01J2S6YQPCQHCRFRV37Q9YYZZ2,,1
36948,01J2W20N4C28DS7AS2X10TG22T,"Hola les informo que mi cuenta de whats app fue hackeada por lo que les pido que no den ninguna información y no hagan casi de ninguna solicitud de ayuda o de dinero a quien lo este solicitando.
Espero pronto resolver este problema.  Gracias",1
36953,01J2Y2FQRXMQM1WZEWP4KJHJGJ,,1
36954,01J2YA7VQG55B6NYSNJWTJR5XW,,2
36955,01J2YC63DJ2RY1117F1FNJX2XB,Hola soy la doctora Columba de farmacias del ahorro por favor si puedes avisarles a tus compañeros representantes qué no pasen a verme ya que estoy en la mira tomaron foto de uno entrando a mi consultorio,1
36957,01J2YA7VQG55B6NYSNJWTJR5XW,,3
36960,01J2YA7VQG55B6NYSNJWTJR5XW,,1
36961,01J31WJDG81P994R88NQYCT1VR,,1
36965,01J31WJDG81P994R88NQYCT1VR,,2
36966,01J33HT1CE7MF8FHC4H26H2EVC,Hola,1
36967,01J33HT1CE7MF8FHC4H26H2EVC,Algún evento de trasplantes para Nefrologo’s en CDMX?,2
36968,01J33KHHEJC6W37X3ZE0KBTAP9,Hola,1
36969,01J33MB09W27YHFYN9K45XS216,No me ha llegado la constancia,1
36970,01J33RZXWTFD182KNPNFQE19KG,"A propósito de los “Speakers”; personajes del área de la salud que son contratados por la industria para exposición de temas médicos, a menudo de controversia, debo decir que:
“Facultativos e investigadores deben
siempre contrastar con su propia experienc",1
36971,01J31WJDG81P994R88NQYCT1VR,,3
36977,01J31WJDG81P994R88NQYCT1VR,,4
36978,01J3690RCD9275KWAJKMCRXK4Y,Hola cómo está una pregunta no tendran beca para  el 41 congreso de pediatría del 23 a26 del WTC de la próxima semana,1
36979,01J370NQP29D5XF2R0S7T5K5S1,,1
36980,01J37FV53NA7AHD1K8ZHPF9VB7,"Mire mis pacientes sin niños y la mayoría tienen su esquema de vacunación completo. 

Aprovecho para informarle que no me visitan los representantes de Sanofi en mi consultorio, 
Mi domicilio es avenida
 de las calandrias 1761
Dra María luz Aceves Barba 
",1
36984,01J370NQP29D5XF2R0S7T5K5S1,,2
36985,01J390628ARMKQ93PXWZ0MWF4P,El Dr Rodolfo ya va empezar a dar consultas a partir de este lunes,1
36986,01J39C7KNAZ96PB15K2PA1MWRS,"¿Puedes aceptar mi invitación así que puedo obtener un regalo gratis?
https://temu.com/s/bqC7kpo9Nc1LMpn",1
36989,01J3C0MFPTWNATB5CRASWPTERY,Hola buen día,1
36990,01J3C0MFPTWNATB5CRASWPTERY,René estrada Cervantes es un paciente mío con Tressiba,2
36991,01J3C70QPJPDHQ96EPXS5P6SZG,,1
36995,01J3C70QPJPDHQ96EPXS5P6SZG,,2
36996,01J3E656K9EZDXXYGYGS5DN5KX,,1
36997,01J3C70QPJPDHQ96EPXS5P6SZG,,3
36999,01J3C70QPJPDHQ96EPXS5P6SZG,,4
37002,01J3GJ7A61KJKMNWJ7F559G9Y8,"Buenas tardes!!
Solo para preguntar si habrá constancia del 8vo simposio interinstitucional de inmunización ?
De antemano mil gracias!!",1
37003,01J3HBZYFH9CDJSZH65FKP19NN,,1
37004,01J3HGA5VX9CC3D7QBKV13SJXD,,1
37006,01J3HBZYFH9CDJSZH65FKP19NN,,2
37010,01J3K8GJTXXEFW0963Q7HAG1EP,Hola,1
37012,01J3HBZYFH9CDJSZH65FKP19NN,,3
37015,01J3NE9YJ12MRT7HS0NG0WT7J3,,1
37016,01J3HBZYFH9CDJSZH65FKP19NN,,4
37018,01J3PM9KFNKPRRQNQXFMPDSA14,,4
37022,01J3PM9KFNKPRRQNQXFMPDSA14,,1
37025,01J3PM9KFNKPRRQNQXFMPDSA14,,2
37028,01J3PM9KFNKPRRQNQXFMPDSA14,,3
37030,01J3VC984ND6RMSQVM6XFB52AM,,1
37033,01J3Y6SSE7YQBJQ5M242N6K298,,1
37044,01J3Y6SSE7YQBJQ5M242N6K298,,2
37049,01J3Y6SSE7YQBJQ5M242N6K298,,3
37054,01J3Y6SSE7YQBJQ5M242N6K298,,4
37055,01J42F9ZNS58XG4CQMFP40KG12,Nos cambiamos a polimedica SAN BERNARDINO DOM AURELIO VENEGAS NUM.104 CONS 2 ENTRE LERDO E HIDALGO A UNA CIADRA DEL ESTADIO NEMESIO DIEZ,1
37056,01J42F9ZNS58XG4CQMFP40KG12,,2
37057,01J42F9ZNS58XG4CQMFP40KG12,A partir del.29 de julio gracias,3
37061,01J43F3NXY4T5VZ1YX5VYX4PYH,,1
37063,01J43F3NXY4T5VZ1YX5VYX4PYH,,2
37067,01J43F3NXY4T5VZ1YX5VYX4PYH,,3
37070,01J43F3NXY4T5VZ1YX5VYX4PYH,,4
37072,01J48JDBJ6AE64PSCYMTRDWX6Z,,1
37073,01J48JDBJ6AE64PSCYMTRDWX6Z,,2
37079,01J48JDBJ6AE64PSCYMTRDWX6Z,,3
37080,01J4A55RWHG9C13RH732EYDKFP,Buen dia,1
37081,01J4A55RWHG9C13RH732EYDKFP,Podrían apoyarme con esta información por favor; clexane 40mg tiene algún programa de descuento?,2
37086,01J4B8JX9BAYQ15X0QYV0VNR51,,1
37092,01J48JDBJ6AE64PSCYMTRDWX6Z,,4
37094,01J4CXWNEFS8E3TK17BABYB6BD,Hola buenas tardes,1
37095,01J4D3XFT82V5YGPW6AA34RNW4,hola buenas tardes,1
37096,01J4D3XFT82V5YGPW6AA34RNW4,Solo para preguntar si ya se terminó de enviar las constancias de la participación al Simposio,2
37100,01J4ETVB3N0AT660NFTJAREYJ1,Hola,1
37101,01J4ETVB3N0AT660NFTJAREYJ1,"Buenos días soy la doctora Ericka Rosa Ortíz 
Me pueden mandar mi pase de abordaje",2
37132,01J4HTF54J05WW9X1VYJ3KAXH4,,1
37137,01J4HTF54J05WW9X1VYJ3KAXH4,,2
37146,01J4HTF54J05WW9X1VYJ3KAXH4,,3
37147,01J4MJP4DWFE53AGSDTCQRR2HA,,1
37148,01J4NC6QCZKTWPKPWAJKVQJ75M,,1
37149,01J4NHP1VCJTRDKQKX5D19TC5S,,1
37159,01J4NHP1VCJTRDKQKX5D19TC5S,,2
37163,01J4NHP1VCJTRDKQKX5D19TC5S,,3
37164,01J4NC6QCZKTWPKPWAJKVQJ75M,,2
37169,01J4SCEMKD8YZFQDCYAV3S7K55,"Hola buenos días, quería ver si me podrían dar una beca para el Congreso de vacunologia que se está llevando a cabo del 8 al 10 de agosto en el Centro Médico Siglo XXI, muchas gracias, quedo atenta a su respuesta,",1
37171,01J4NHP1VCJTRDKQKX5D19TC5S,,4
37172,01J4TM1JA5CBWEFEYKMQ3TWDBW,,3
37175,01J4VYM9CMRZ78JJ74HT928NVV,Hola buen día,1
37177,01J4TM1JA5CBWEFEYKMQ3TWDBW,,4
37180,01J4TM1JA5CBWEFEYKMQ3TWDBW,,1
37186,01J4Y7X63WX4G1RHB83Y1DDXZW,"buenos días a todos 
Me intentaron hackear nuevamente la cuenta pero ya la recuperé
No hagas caso de mensajes sospechosos",1
37189,01J4TM1JA5CBWEFEYKMQ3TWDBW,,2
37227,01J53TEP3RCFEV92WWVZMXPRRH,,2
37235,01J53TEP3RCFEV92WWVZMXPRRH,,1
37257,01J53TEP3RCFEV92WWVZMXPRRH,,3
37499,wamid.HBgNNTIxODExNjM2MTk2ORUCABIYFDJGNTUzQ0E2NDE1,"Hola! Gracias por comunicarte con la Dra Laura Coronado.

No escucho mensajes de VOZ porfavor envíame mensajes de texto . Para información de costo, horarios, agendar/reagendar una cita u otra información, llama al teléfono 8121380553 o manda u",2
37500,wamid.HBgNNTIxOTYyMTM0MzEwMhUCABIYFDJGNTFCRjU4QTQ4,"Gracias por tu mensaje. En este momento no estamos disponibles, pero te responderemos tan pronto regresemos.",1
37501,wamid.HBgNNTIxODExNjM2MTk2ORUCABIYFDJGN0FFQTY5NEQ4,"Hola. ??

El horario de WhatsApp es de Lunes a Viernes de 9:00am - 8:00pm y Sábados de 9am-3:00pm. Domingos y días festivos no reviso WhatsApp, pero si es una emergencia llámame y con gusto atenderé tu llamada. 
Recuerda no escucho mensajes de",1
37502,wamid.HBgNNTIxNTU4MDM2MzE3NxUCABIYFDJGNzQxQkFEN0FE,"Gracias por comunicarte a línea de la del Dra. Shugey Cabrera. 
Por seguridad del paciente, no se dan recomendaciones por este medio. citas 5559724825 o 5554736572.",1
37503,wamid.HBgNNTIxNTU4MzM1NzcyMBUCABIYFDNBODA3RkFFOTA3,"Gracias por comunicarte con Dr Luis Ocampo. Por favor, haznos saber cómo podemos ayudarte.",1
37504,wamid.HBgNNTIxNTU0ODAyNTM5MxUCABIYIDdBN0E3Q0Q4M0ZF,Gracias por comunicarte con Dra. Gabriela Ortiz. ¿Cómo podemos ayudarte?,1
37505,wamid.HBgNNTIxODc3MTQ5NzI1NxUCABIYIEI2MzZBQzBFNDM0,"??¡Hola! Gracias por comunicarse.
PARA CITAS: ??
Link: https://www.doctoralia.com.mx/z/9PWxum
?? Teléfonos:
877 772 6305
877 772 0915
En caso necesario solicite ser agregado a lista de espera, con gusto le avisaremos para adelantar cita.
",1
37506,wamid.HBgNNTIxMjI4ODI2MTA3MBUCABIYFDJGODJEQjMyMUZC,"En este momento no me es posible responderte. SI CONSIDERAS QUE ES UNA URGENCIA MARCAME, comunícate con mi asistente o acude a urgencias del Hospital Angeles y solicita que me contacten. ¡Gracias!",1
37507,wamid.HBgNNTIxMjI4ODI2MTA3MBUCABIYFDJGOTI3RTg4NEFF,"Hola! Este es un mensaje generado automáticamente. 
Si deseas concertar una cita puedes hacerlo de mi calendario online: https://www.doctoralia.com.mx/z/4bJgPP
o al 2288139999. 
SI TIENES UNA URGENCIA MARCA.",1
37508,wamid.HBgNNTIxNzIyMTYwNDM4NRUCABIYIEJFMDY2NDlFQjk2,Gracias,1
37509,wamid.HBgNNTIxNDQzNDI5NjU0ORUCABIYFDNBNjQxRUU5QTNF,Ok gracias,1
37511,wamid.HBgNNTIxNTU1NTA5MjQzNRUCABIYIERFMEYwNjk4NTNE,Muchísimas gracias,1
37513,wamid.HBgNNTIxNjE0Mjg5ODUyMxUCABIYIEZGRDQyMTI3OEQ4,"Gracias por comunicarte con nosotros, cuéntanos qué es lo que te pasa, y como podemos hacer para ayudarte ? ??",1
37516,wamid.HBgNNTIxNTUxNzA2MTcyMhUCABIYIDdGQ0NDMDExRThF,"Soy la Dra Victoria Castañeda de PEDIASAURIOS ????????.
Gracias por comunicarte conmigo, en breve te responderé. Mientras hazme saber cómo te puedo ayudar.",1
37519,wamid.HBgNNTIxNTUxODI1ODczOBUCABIYIEFBQzhBQTJFQTNF,Gracias buen día ??????,1
37521,wamid.HBgNNTIxODExNjM2MTk2ORUCABIYFDJGNTUzQ0E2NDE1,"Hola! Gracias por comunicarte con la Dra Laura Coronado.

No escucho mensajes de VOZ porfavor envíame mensajes de texto . Para información de costo, horarios, agendar/reagendar una cita u otra información, llama al teléfono 8121380553 o manda u",1
37522,wamid.HBgNNTIxODExNjM2MTk2ORUCABIYFDJGN0FFQTY5NEQ4,"Hola. ??

El horario de WhatsApp es de Lunes a Viernes de 9:00am - 8:00pm y Sábados de 9am-3:00pm. Domingos y días festivos no reviso WhatsApp, pero si es una emergencia llámame y con gusto atenderé tu llamada. 
Recuerda no escucho mensajes de",2
37524,wamid.HBgNNTIxOTYxMTc3MTIxMRUCABIYFDNBN0MxRDVBRUI2,Gracias,1
37528,wamid.HBgNNTIxOTk5OTk1NjA2MxUCABIYFDNBRDBDMjIzMjk1,"Gracias, saludos.",1
37529,wamid.HBgNNTIxMzMxMzUxOTkwMxUCABIYIEMyNTVGMUM0RUE1,"Gracias, saludos",1
37538,wamid.HBgNNTIxMzMxNDA2MjkwMRUCABIYIDA4MTc3MzQwRDQ4,Ok muchas gracias,1
37540,wamid.HBgNNTIxOTk5OTkwNjE5MhUCABIYFDNBMUNBRkNGQzIx,B tardes gracias ??,1
37543,wamid.HBgNNTIxNTU1NDAxMDgzMBUCABIYFDNBQTJERUY0MEVD,"Con todo respeto no me es satisfactorio su disicion. Yo no lo tomaré en cuenta, ya que. Pierdo mucho tiempo y no hay diálogo. Mejore invítenme a dar plática. Hay mejores resultados.
Evítense mandarme algo",1
